,open,high,low,subjectivity,polarity,compound,negative,neutral,positive,timestamp
0,0.95105395758,1.04907270025,0.765020356128,1,1,1,1,1,1,2020-04-11
1,0.785447714185,0.956669837035,0.762426200135,1,1,1,1,1,1,2020-04-12
2,0.890759612431,0.891602782787,0.773976306644,1,1,1,1,1,1,2020-04-13
3,0.777831565037,0.796472356866,0.628169430018,1,1,1,1,1,1,2020-04-14
4,0.669289149224,0.704963548631,0.62153145556,1,1,1,1,1,1,2020-04-15
5,0.630878816101,0.774192228467,0.625107412535,1,1,1,1,1,1,2020-04-16
6,0.689312454191,0.719613782417,0.660727970818,1,1,1,1,1,1,2020-04-17
7,0.660727970818,0.717618209437,0.659427087306,1,1,1,1,1,1,2020-04-18
8,0.681515884453,0.68464132719,0.598486993213,1,1,1,1,1,1,2020-04-19
9,0.612947581488,0.639253715698,0.52057781675,1,1,1,1,1,1,2020-04-20
10,0.541386709626,0.604586042345,0.508548999936,1,1,1,1,1,1,2020-04-21
11,0.581166089846,0.706963640285,0.569620792668,1,1,1,1,1,1,2020-04-22
12,0.685347169644,0.698077000278,0.600321839105,1,1,1,1,1,1,2020-04-23
13,0.624021171859,0.671020012488,0.613941111404,1,1,1,1,1,1,2020-04-24
14,0.630528058118,0.670948281702,0.621547407359,1,1,1,1,1,1,2020-04-25
15,0.653215035281,0.691499391682,0.631170580099,1,1,1,1,1,1,2020-04-26
16,0.635713806985,0.660282639688,0.561027523835,1,1,1,1,1,1,2020-04-27
17,0.578252730451,0.692147510505,0.568483717999,1,1,1,1,1,1,2020-04-28
18,0.662285637918,0.777771293054,0.655273716711,1,1,1,1,1,1,2020-04-29
19,0.747194537125,0.800816479295,0.68788052508,1,1,1,1,1,1,2020-04-30
20,0.691045421015,0.737071288473,0.685902703146,1,1,1,1,1,1,2020-05-01
21,0.727267603533,0.748980798928,0.707903537269,1,1,1,1,1,1,2020-05-02
22,0.679625171586,0.70581247046,0.618433606439,1,1,1,1,1,1,2020-05-04
23,0.673440456927,0.686214207407,0.626498811322,1,1,1,1,1,1,2020-05-05
24,0.64245418812,0.673890820131,0.622583598868,1,1,1,1,1,1,2020-05-06
25,0.622583598868,0.632267767367,0.573375617006,1,1,1,1,1,1,2020-05-07
26,0.604041500539,0.625429237134,0.588447830009,1,1,1,1,1,1,2020-05-09
27,0.538371569664,0.5648742321,0.518038300363,1,1,1,1,1,1,2020-05-13
28,0.605238714933,0.676431960943,0.582829718276,1,1,1,1,1,1,2020-05-22
29,0.637414621895,0.638848874061,0.58824731869,1,1,1,1,1,1,2020-05-23
30,0.613288867401,0.613288867401,0.548431875411,1,1,1,1,1,1,2020-05-24
